A3,5
E2,30
G2,18
A3,5
E2,5
G2,5
A3,5
D2,30
A3,10
E2,10
G2,30
A3,5
E2,5
G2,5
A3,5
A3,30 # intro
A3,5 # Start A
C#3,5
E3,5
G#2,5
A3,5
C#3,5
G#2,5
E3,5 
A3,5 
C#3,5
E3,5
G#2,5
A3,5
C#3,5
G#2,5
E3,5 # End A section
A3,5 # Start A
C#3,5
E3,5
G#2,5
A3,5
C#3,5
G#2,5
E3,5 # End A section
A3,5 # Start A
C#3,5
E3,5
G#2,5
A3,5
C#3,5
G#2,5
E3,5 # End A section
F#3,5 # Start B section
G#3,5
A4,5
E3,5
F#3,6
G#3,7
E3,8 
A4,10
C#3,15
B3,15
A3,30
A3,5 # Start A
C#3,5
E3,5
G#2,5
A3,5
C#3,5
G#2,5
E3,5 # End A section
A3,5 # Start A
C#3,5
E3,5
G#2,5
A3,5
C#3,5
G#2,5
E3,5 # End A section
F#3,5 # Start B section
G#3,5
A4,5
E3,5
F#3,5 
G#3,5
A4,5
E3,5
D3,5
E3,5
F#3,5
C#3,5
D3,6
E3,7
F#3,8
C#3,9
B3,5
C#3,5
D3,5
B3,5
A3,5
B3,5
C#3,6
G#2,8
G2,6
B3,7
D3,8
F#2,9
F2,7
A#3,8
D3,9
F2,10
E2,10 # Mod A end first section =============================
E2,2 # Section 2
F#2,2
B3,2
E2,2
F#2,2
B3,2
E2,3
F#2,4
D2,2
F#2,2
D3,2
D2,2
F#2,3
D3,4
D2,5
F#2,6
C#2,2
G#2,2
E3,2
C#2,2
G#2,2
E3,3
C#2,4
G#2,5
C2,2
G2,2
D3,2
C2,2
G2,2
D3,3
C2,4
G2,5
E2,2
F#2,2
B3,2
E2,2
F#2,2
B3,3
E2,4
F#2,5
D2,2
F#2,2
D3,2
D2,2
F#2,2
D3,3
D2,4
F#2,5
C#2,2
G#2,2
E3,2
C#2,2
G#2,2
E3,3
C#2,4
G#2,5
C2,2
G2,2
D3,2
C2,2
G2,2
D3,2
C2,2
G2,2 
C2,2 # ral
G2,3
D3,4
C2,5
G2,6
D3,7
C2,8
G2,9 
C2,10
G2,11
D3,12
C2,13
G2,14
D3,15
C2,16
G2,17 

